
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
       Y2,0 Total Reaction Rate Moment      -4.68688E-03   +/- 1.93851E-05
       Y2,1 Total Reaction Rate Moment      -1.60790E-06   +/- 1.04904E-06
       Y2,2 Total Reaction Rate Moment      -1.98081E-05   +/- 2.08431E-05
       Y3,-3 Total Reaction Rate Moment     4.53386E-06    +/- 1.79850E-05
       Y3,-2 Total Reaction Rate Moment     -2.21842E-07   +/- 1.10286E-06
       Y3,-1 Total Reaction Rate Moment     9.76603E-06    +/- 1.59642E-05
       Y3,0 Total Reaction Rate Moment      -2.92414E-04   +/- 8.58409E-07
       Y3,1 Total Reaction Rate Moment      1.75648E-05    +/- 1.59048E-05
       Y3,2 Total Reaction Rate Moment      1.23330E-06    +/- 1.09405E-06
       Y3,3 Total Reaction Rate Moment      1.86016E-05    +/- 1.79679E-05
 Mesh Index (1, 1, 2)
   Incoming Energy [0.0, 6.25000E-06)
     Total Material
       Y0,0 Flux Moment                     0.248372       +/- 5.61331E-05
       Y1,-1 Flux Moment                    6.22538E-07    +/- 1.90239E-05
       Y1,0 Flux Moment                     -1.66965E-03   +/- 7.73317E-07
       Y1,1 Flux Moment                     1.74021E-05    +/- 1.89382E-05
       Y2,-2 Flux Moment                    -7.63378E-06   +/- 1.47736E-05
       Y2,-1 Flux Moment                    -1.74980E-06   +/- 1.94731E-06
       Y2,0 Flux Moment                     5.51414E-03    +/- 1.38550E-05
       Y2,1 Flux Moment                     -1.67606E-06   +/- 1.96435E-06
       Y2,2 Flux Moment                     8.91933E-07    +/- 1.49600E-05
       Y3,-3 Flux Moment                    -7.58901E-06   +/- 1.28330E-05
       Y3,-2 Flux Moment                    -4.32067E-06   +/- 1.95158E-06
       Y3,-1 Flux Moment                    -3.64366E-06   +/- 1.13125E-05
       Y3,0 Flux Moment                     7.74164E-04    +/- 1.54592E-06
       Y3,1 Flux Moment                     -1.69491E-05   +/- 1.12072E-05
       Y3,2 Flux Moment                     -1.85376E-06   +/- 1.93465E-06
       Y3,3 Flux Moment                     -2.48060E-06   +/- 1.29007E-05
       Y0,0 Total Reaction Rate Moment      0.123989       +/- 2.80440E-05
       Y1,-1 Total Reaction Rate Moment     -7.27086E-07   +/- 9.35212E-06
       Y1,0 Total Reaction Rate Moment      -1.01843E-03   +/- 5.06102E-07
       Y1,1 Total Reaction Rate Moment      9.20786E-06    +/- 9.30632E-06
       Y2,-2 Total Reaction Rate Moment     -2.85529E-06   +/- 7.25128E-06
       Y2,-1 Total Reaction Rate Moment     -7.26861E-07   +/- 1.03839E-06
       Y2,0 Total Reaction Rate Moment      3.33758E-03    +/- 6.83249E-06
       Y2,1 Total Reaction Rate Moment      -1.15422E-06   +/- 1.05065E-06
       Y2,2 Total Reaction Rate Moment      -4.65565E-07   +/- 7.35302E-06
       Y3,-3 Total Reaction Rate Moment     -9.22215E-07   +/- 6.31560E-06
       Y3,-2 Total Reaction Rate Moment     -2.09657E-06   +/- 1.03717E-06
       Y3,-1 Total Reaction Rate Moment     -1.90716E-06   +/- 5.57742E-06
       Y3,0 Total Reaction Rate Moment      4.53808E-04    +/- 8.36020E-07
       Y3,1 Total Reaction Rate Moment      -9.51429E-06   +/- 5.51535E-06
       Y3,2 Total Reaction Rate Moment      -6.60567E-07   +/- 1.02455E-06
       Y3,3 Total Reaction Rate Moment      -2.52550E-07   +/- 6.33182E-06
   Incoming Energy [6.25000E-06, 1.01200E-04)
     Total Material
       Y0,0 Flux Moment                     0.226310       +/- 4.18427E-05
       Y1,-1 Flux Moment                    4.87263E-05    +/- 1.85790E-05
       Y1,0 Flux Moment                     -1.17284E-03   +/- 7.11985E-07
       Y1,1 Flux Moment                     -1.33727E-05   +/- 1.83617E-05
       Y2,-2 Flux Moment                    -4.40808E-07   +/- 1.43873E-05
       Y2,-1 Flux Moment                    1.21738E-06    +/- 1.88403E-06
       Y2,0 Flux Moment                     3.34633E-03    +/- 1.34166E-05
       Y2,1 Flux Moment                     -4.63838E-06   +/- 1.90683E-06
       Y2,2 Flux Moment                     -1.67441E-05   +/- 1.47309E-05
       Y3,-3 Flux Moment                    -3.40077E-06   +/- 1.24984E-05
       Y3,-2 Flux Moment                    -1.06729E-06   +/- 1.87472E-06
       Y3,-1 Flux Moment                    -2.44655E-05   +/- 1.09903E-05
       Y3,0 Flux Moment                     5.62854E-04    +/- 1.47156E-06
       Y3,1 Flux Moment                     2.27142E-06    +/- 1.08983E-05
       Y3,2 Flux Moment                     -1.47994E-07   +/- 1.86058E-06
       Y3,3 Flux Moment                     -7.77373E-06   +/- 1.25379E-05
       Y0,0 Total Reaction Rate Moment      0.119160       +/- 2.37921E-05
       Y1,-1 Total Reaction Rate Moment     1.55198E-05    +/- 1.06788E-05
       Y1,0 Total Reaction Rate Moment      -8.54566E-04   +/- 4.04786E-06
       Y1,1 Total Reaction Rate Moment      4.86210E-06    +/- 1.04966E-05
       Y2,-2 Total Reaction Rate Moment     -2.73026E-06   +/- 8.30647E-06
       Y2,-1 Total Reaction Rate Moment     1.42585E-06    +/- 3.43645E-06
       Y2,0 Total Reaction Rate Moment      2.16849E-03    +/- 7.66413E-06
       Y2,1 Total Reaction Rate Moment      -7.70751E-06   +/- 3.52052E-06
       Y2,2 Total Reaction Rate Moment      -2.23212E-07   +/- 8.43349E-06
       Y3,-3 Total Reaction Rate Moment     1.53787E-06    +/- 7.19521E-06
       Y3,-2 Total Reaction Rate Moment     -6.48614E-07   +/- 3.04646E-06
       Y3,-1 Total Reaction Rate Moment     -1.91116E-05   +/- 6.36581E-06
       Y3,0 Total Reaction Rate Moment      3.29399E-04    +/- 2.95976E-06
       Y3,1 Total Reaction Rate Moment      -2.26999E-06   +/- 6.31378E-06
       Y3,2 Total Reaction Rate Moment      -7.39273E-06   +/- 3.06101E-06
       Y3,3 Total Reaction Rate Moment      -9.03268E-06   +/- 7.20512E-06
   Incoming Energy [1.01200E-04, 5.00000E-02)
     Total Material
       Y0,0 Flux Moment                     1.13683        +/- 1.05184E-04
